ID,Name,Code,Legal form,Status,Registration Date,Capital,Address,Area of Activity,EMTAK Code,NACE Code,Partners,Partner_Participations,Partner_Contributions,Representatives,Representative_Roles,Representative_Start_Dates,Deletion Date
220,DaVinciSpaghetteriaOÃœ(11280362),11280362.0,Private limited company,Deleted,16.08.2006,,,,,,,,,,,,27.06.2011
221,OsaÃ¼hingDAYSPA(10964398),10964398.0,Private limited company,Enteredintotheregister,29.08.2003,Capitalis2Â 556Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Vana-Posti tn 4 10146,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,\n                                        Liina Otsus\n,100.00%,\n                                    2556.00 EUR,\n                                Liina Otsus\n,\n                                Management board member\n,29.08.2003,
222,DeadSeaMedicalSPAOÃœ(12390354),12390354.0,Private limited company,Deleted,11.12.2012,,,,,,,,,,,,04.06.2017
223,DealspaceOÃœ(16213790),16213790.0,Private limited company,Enteredintotheregister,23.04.2021,Capitalis2Â 500Â â‚¬,Tartu maakond Luunja vald Veibri kÃ¼la JÃ¤rveoja pÃµik 2 62220,Computer programming activities,62011 (EMTAK 2008),62.01,\n                                        Jevgeni Savostkin\n,100.00%,\n                                    2500.00 EUR,\n                                Jevgeni Savostkin\n,\n                                Management board member\n,23.04.2021,
224,DeepspaceNetworksOÃœ(14782012),14782012.0,Private limited company,Enteredintotheregister,14.08.2019,Capitalis2Â 500Â â‚¬,,Computer consultancy activities,62021 (EMTAK 2008),62.02,\n                                        Spyridon Thanasoulas\n,100.00%,\n                                    2500.00 EUR,\n                                Spyridon Thanasoulas\n,\n                                Management board member\n,14.08.2019,
225,DeepSpaceSoftwareOÃœ(16625630),16625630.0,Private limited company,Enteredintotheregister,02.12.2022,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Paekaare tn 52-46 13613,Computer programming activities,62011 (EMTAK 2008),62.01,\n                                        Oleksandr Boriachek\n,100.00%,\n                                    2500.00 EUR,\n                                Anna Kalbenoks\n,\n                                Management board member\n,02.12.2022,
226,DespacitoOÃœ(14333001),14333001.0,Private limited company,Enteredintotheregister,15.09.2017,Capitalis2Â 500Â â‚¬,Tartu maakond Tartu linn Tartu linn Lootsi tn 7 51017,Business and other management consultancy activities,7022 (EMTAK 2008),70.22,\n                                        Eve Laane\n,100.00%,\n                                    2500.00 EUR,\n                                Eve Laane\n,\n                                Management board member\n,26.08.2019,
227,OsaÃ¼hingDespalmini(10956231),10956231.0,Private limited company,Enteredintotheregister,01.07.2003,Capitalis2Â 555Â â‚¬,Harju maakond Tallinn NÃµmme linnaosa Viljandi mnt 11/1 11214,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.2,"\n                                        Urve Tamm\n, \n                                        Laine Tamm\n","99.02%, 0.98%","\n                                    2530.00 EUR, \n                                    25.00 EUR",\n                                Urve Tamm\n,\n                                Management board member\n,01.07.2003,
228,OSAÃœHINGDESPALSJ(11315971),11315971.0,Private limited company,Enteredintotheregister,16.11.2006,Capitalis2Â 556Â â‚¬,JÃ¤rva maakond JÃ¤rva vald Ahula kÃ¼la Pae 73401,Retail sale via mail order houses or via Internet,4791 (EMTAK 2008),47.91,"\n                                        Jaanus M\xc3\xa4ekivi\n, \n                                        Sirja M\xc3\xa4ekivi\n","50.00%, 50.00%","\n                                    1278.00 EUR, \n                                    1278.00 EUR",\n                                Jaanus M\xc3\xa4ekivi\n,\n                                Management board member\n,16.11.2006,
229,osaÃ¼hingDesparo(11052365),11052365.0,Private limited company,Deleted,22.06.2004,,,,,,,,,,,,08.12.2014
230,DexterBalticumOsaÃ¼hing(10902264),10902264.0,Private limited company,Deleted,22.10.2002,,,,,,,,,,,,12.06.2013
231,DianaSpasskaja(12798345),12798345.0,Sole trader,Deleted,11.02.2015,,,,,,,,,,,,15.04.2015
232,DigiSpaceOÃœ(16120284),16120284.0,Private limited company,Enteredintotheregister,14.12.2020,Capitalis2Â 500Â â‚¬,Harju maakond Rae vald Peetri alevik KelgumÃ¤e tn 15-1 75312,Computer consultancy activities,62021 (EMTAK 2008),62.02,\n                                        Anna Ozols\n,100.00%,\n                                    2500.00 EUR,\n                                Anna Ozols\n,\n                                Management board member\n,14.12.2020,
233,DireccionOÃœ(11920608),11920608.0,Private limited company,Enteredintotheregister,06.04.2010,Capitalis2Â 556Â â‚¬,Harju maakond Viimsi vald Kelvingi kÃ¼la Meresihi tee 25 74018,Agents involved in the sale of a variety of goods,46191 (EMTAK 2008),46.19,\n                                        Yulia Murashko\n,100.00%,\n                                    2556.00 EUR,\n                                Yulia Murashko\n,\n                                Management board member\n,30.10.2020,
234,OÃœDirectspace(11242410),11242410.0,Private limited company,Enteredintotheregister,06.04.2006,Capitalis2Â 556Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Asunduse tn 6-47 11416,Constructional engineering-technical designing and consulting,71121 (EMTAK 2008),71.12,"\n                                        Filipp Morozov\n, \n                                        Maksim Blit\xc5\xa1tein\n","50.00%, 50.00%","\n                                    1278.00 EUR, \n                                    1278.00 EUR",\n                                Maksim Blit\xc5\xa1tein\n,\n                                Management board member\n,21.11.2019,
235,OsaÃ¼hingDispak(10266012),10266012.0,Private limited company,Enteredintotheregister,23.09.1997,Capitalis2Â 556Â â‚¬,Harju maakond Tallinn PÃµhja-Tallinna linnaosa Puuvilla tn 19 10314,Wholesale of other intermediate products,46761 (EMTAK 2008),46.76,"\n                                        Andres M\xc3\xa4nnisalu\n, \n                                        Anti Sarap\n","50.00%, 50.00%","\n                                    1278.00 EUR, \n                                    1278.00 EUR",\n                                Andres M\xc3\xa4nnisalu\n,\n                                Management board member\n,23.09.1997,
236,DISPAKPEATSUBSTRATESOÃœ(10862576),10862576.0,Private limited company,Enteredintotheregister,25.04.2002,Capitalis40Â 000Â EEK,Harju maakond Tallinn PÃµhja-Tallinna linnaosa Puuvilla tn 19/1 10314,Freight transport by road,49411 (EMTAK 2008),49.41,"\n, \n                                        Hassan Elbadawi Farah Omar\n, \n                                        Margus V\xc3\xb6\xc3\xb6rman\n","50.00%, 25.00%, 25.00%","\n                                    20000.00 EEK, \n                                    10000.00 EEK, \n                                    10000.00 EEK",\n                                Andres M\xc3\xa4nnisalu\n,\n                                Management board member\n,05.07.2002,
237,DogHealth&SpaCentreOÃœ(16056623),16056623.0,Private limited company,Enteredintotheregister,18.09.2020,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Majaka tn 12-40 11412,Pet care services,96091 (EMTAK 2008),96.09,\n                                        Aleksandra Bekker\n,100.00%,\n                                    2500.00 EUR,\n                                Aleksandra Bekker\n,\n                                Management board member\n,18.09.2020,
238,MittetulundusÃ¼hingDomSpasenija(80356745),80356745.0,Non-profit association,Deleted,09.05.2013,,,,,,,,,,,,22.06.2017
239,DOORGATEOÃœ(12670898),12670898.0,Private limited company,Enteredintotheregister,05.06.2014,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Haabersti linnaosa Vana-RannamÃµisa tee 12b 13516,Other retail sale in non-specialised stores,47191 (EMTAK 2008),47.19,\n                                        Risto Jaamu\n,100.00%,\n                                    2500.00 EUR,\n                                Risto Jaamu\n,\n                                Management board member\n,05.06.2014,
240,OÃœDreamspace(12741115),12741115.0,Private limited company,Deleted,23.10.2014,,,,,,,,,,,,07.08.2019
241,OÃœDreamspace(12741115),12741115.0,Private limited company,Deleted,23.10.2014,,,,,,,,,,,,07.08.2019
242,DSpaceGemOÃœ(16339947),16339947.0,Private limited company,Enteredintotheregister,12.10.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa TornimÃ¤e tn 7-26 10145,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,\n                                        Bohdan Kuzmenko\n,100.00%,\n                                    2500.00 EUR,\n                                Bohdan Kuzmenko\n,\n                                Management board member\n,12.10.2021,
243,DunsinSundayFakoredeKorexSpark(14841525),14841525.0,Sole trader,Deleted,05.11.2019,,,,,,,,,,,,05.07.2021
244,DuospaceMTÃœ(80617996),80617996.0,Non-profit association,Enteredintotheregister,01.11.2022,,Harju maakond Tallinn NÃµmme linnaosa RÃ¤nnaku pst 12 10917,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,,,,\n                                Hannes Rosin\n,\n                                Management board member\n,01.11.2022,
245,EAGLETransportOÃœ(12940317),12940317.0,Private limited company,Enteredintotheregister,03.11.2015,Capitalis2Â 500Â â‚¬,Tartu maakond Tartu linn Tartu linn Teguri tn 30 51013,Removal services,49421 (EMTAK 2008),49.42,\n,100.00%,\n                                    2500.00 EUR,\n                                Kaupo S\xc3\xb5merik\n,\n                                Management board member\n,08.12.2017,
246,EasySpanishSchoolOÃœ(16311050),16311050.0,Private limited company,Enteredintotheregister,09.09.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa LÃµÃµtsa tn 5 // Sepapaja tn 4 11415,Computer consultancy activities,62021 (EMTAK 2008),62.02,\n                                        Sarai Monta\xc3\xb1a Zanon\n,100.00%,\n                                    2500.00 EUR,\n                                Sarai Monta\xc3\xb1a Zanon\n,\n                                Management board member\n,09.09.2021,
247,EcoNordicSpaOÃœ(14540071),14540071.0,Private limited company,Enteredintotheregister,07.08.2018,Capitalis2Â 500Â â‚¬,Tartu maakond Tartu vald Raadi alev Kaupmehe tn 15-16 60532,Agents involved in the sale of timber and building materials,46131 (EMTAK 2008),46.13,\n                                        ZINE-EDDINE YAHI\n,100.00%,\n                                    2500.00 EUR,\n                                Zine-Eddine Yahi\n,\n                                Management board member\n,18.10.2018,
248,EcoSpaceOÃœ(14394758),14394758.0,Private limited company,Enteredintotheregister,21.12.2017,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa VÃ¤ike-Paala tn 2 11415,Manufacture of fertilisers and nitrogen compounds,20151 (EMTAK 2008),20.15,\n                                        Yury Zarutskiy\n,100.00%,\n                                    2500.00 EUR,\n                                Yury Zarutskiy\n,\n                                Management board member\n,27.07.2020,
249,EdalanOÃœ(10816665),10816665.0,Private limited company,Enteredintotheregister,13.12.2001,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Vase tn 4-14 10125,Wholesale of solid fuels,46711 (EMTAK 2008),46.71,\n,100.00%,\n                                    2500.00 EUR,\n                                Aleksandr Gribov\n,\n                                Management board member\n,01.03.2013,
250,EduspaceOÃœ(14161706),14161706.0,Private limited company,Enteredintotheregister,01.12.2016,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Liikuri tn 10-107 13618,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,\n                                        Dmytro Perepelytsia\n,100.00%,\n                                    2500.00 EUR,\n                                Dmytro Perepelytsia\n,\n                                Management board member\n,04.04.2018,
251,EestiAmeerikaKokkerspanjeliteTÃµuÃ¼hing(80186243),80186243.0,Non-profit association,Enteredintotheregister,12.03.2003,,Tammeoksa 31-5 Tartu city Tartu county 50414,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,,,,\n                                Monika Mark\n,\n                                Management board member\n,12.03.2003,
252,EESTICAVALIERKINGCHARLESSPANIELITETÃ•UÃœHING(80186705),80186705.0,Non-profit association,Enteredintotheregister,05.05.2003,,Tartu maakond Luunja vald Luunja alevik Pargi tn 6 62201,"Associations and social clubs related to recreational activities, entertainment, cultural activities or hobbies",94995 (EMTAK 2008),94.99,,,,\n                                Terje Erdmann\n,\n                                Management board member\n,10.06.2009,
253,EestiEhituspartnerOÃœ(11170461),11170461.0,Private limited company,Enteredintotheregister,20.09.2005,Capitalis6Â 391Â â‚¬,Tartu maakond Tartu linn Tartu linn Teguri tn 45d/1 51013,Other earth and soil works,43129 (EMTAK 2008),43.12,\n                                        Marek Kaljula\n,100.00%,\n                                    6391.00 EUR,\n                                Marek Kaljula\n,\n                                Management board member\n,20.09.2005,
254,EestiHair&BeautySPAOÃœ(12260108),12260108.0,Private limited company,Deleted,03.04.2012,,,,,,,,,,,,06.12.2022
255,EestiHispaaniaKeeleÃ•petajateLiit(80378209),80378209.0,Non-profit association,Deleted,01.12.2014,,,,,,,,,,,,20.12.2019
256,MTÃœEESTI-HISPAANIASELTS(80219190),80219190.0,Non-profit association,Deleted,09.03.2005,,,,,,,,,,,,06.09.2012
257,MTÃœEESTIINGLISEKOKKERSPANJELISELTS,,Non-profit association,,,,Harju maakond Rae vald Kopli kÃ¼la PÃ¤Ã¤sukese tn 5 75321,,,,,,,,,,
258,EESTIINGLISEKOKKERSPANJELITETÃ•UÃœHING(80240907),80240907.0,Non-profit association,Enteredintotheregister,10.10.2006,,Tartu maakond Tartu linn Tartu linn Tulbi tn 2d-1a 50407,Activities of other membership organisations n.e.c.,9499 (EMTAK 2008),94.99,,,,\n                                Mariann Rivik\n,\n                                Management board member\n,09.07.2014,
259,AktsiaseltsEestiInvesteerimispangaVarahaldus(10454908),10454908.0,Public limited company,Deleted,26.05.1998,,,,,,,,,,,,15.11.2000
260,aktsiaseltsEESTIINVESTEERIMISPANK(10165245),10165245.0,Public limited company,Deleted,07.11.1996,,,,,,,,,,,,29.12.1998
261,EestiIseseisvuspartei(80051885),80051885.0,Non-profit association,Deleted,02.11.1998,,,,,,,,,,,,30.10.2022
262,SihtasutusEestiKaevandusmuuseum(90003321),90003321.0,Foundation,Enteredintotheregister,28.10.2002,,Ida-Viru maakond Toila vald Kohtla-NÃµmme alev Jaama tn 100 30503,Museums activities,91021 (EMTAK 2008),91.02,,,,\n                                Etti Kagarov\n,\n                                Management board member\n,14.03.2018,
263,EestiRahvusparkideNoorteLooduskaitsjateSelts(80589120),80589120.0,Non-profit association,Enteredintotheregister,30.11.2020,,Tartu maakond Tartu linn Tartu linn VÃµru tn 20-6 51010,Activities of other organisations not classified elsewhere,94999 (EMTAK 2008),94.99,,,,\n                                Piia Tomingas\n,\n                                Management board member\n,30.11.2020,
264,EestiSpaaliit(80002119),80002119.0,Non-profit association,Enteredintotheregister,20.12.1996,,LÃ¤Ã¤ne maakond Haapsalu linn Haapsalu linn Sadama tn 9 90502,Activities of business and employers membership organisations,9411 (EMTAK 2008),94.11,,,,\n                                Piret Betlem\n,\n                                Management board member\n,04.11.2022,
265,EestiSpanjeliteTÃµuÃ¼hing(80171603),80171603.0,Non-profit association,Enteredintotheregister,01.07.2002,,Harju maakond Tallinn Kesklinna linnaosa K. TÃ¼rnpu tn 7 10121,Raising of other animals,01499 (EMTAK 2008),1.49,,,,\n                                Merike Moldau\n,\n                                Management board member\n,01.10.2010,
266,EestiSpanjeliteTÃµuÃ¼hingESP(80111512),80111512.0,Non-profit association,Deleted,29.10.1999,,,,,,,,,,,,29.05.2012
267,EestiSparaktsiaselts(10034419),10034419.0,Public limited company,Deleted,10.05.1996,,,,,,,,,,,,16.12.2004
268,EestiSpringerspanjeliteTÃµuÃ¼hing(80410120),80410120.0,Non-profit association,Enteredintotheregister,09.12.2016,,Harju maakond Tallinn Haabersti linnaosa Mardipere tn 4 13516,Environment and nature protection associations,94996 (EMTAK 2008),94.99,,,,\n                                Helin Lest\n,\n                                Management board member\n,15.02.2021,
269,SihtasutusEestiTehnilistePÃµllukultuurideTÃ¶Ã¶tlemispark(90007589),90007589.0,Foundation,Deleted,30.03.2004,,,,,,,,,,,,25.01.2016
270,EestiTuleohutuspaigaldisteHooldajateKeskliit(80288506),80288506.0,Non-profit association,Enteredintotheregister,21.05.2009,,Harju maakond Tallinn Kesklinna linnaosa PÃ¤rnu mnt 130 11317,Activities of other organisations not classified elsewhere,94999 (EMTAK 2008),94.99,,,,\n                                Heiki Kangro\n,\n                                Management board member\n,29.07.2015,
271,AktsiaseltsEESTITÃ–Ã–STUSEjaEHITUSEKOMMERTSPANK(10011453),10011453.0,Public limited company,Deleted,16.02.1996,,,,,,,,,,,,22.04.1999
272,EestiVabaduspartei-PÃµllumeesteKogu(80051862),80051862.0,Non-profit association,Enteredintotheregister,03.11.1998,,Harju maakond Tallinn NÃµmme linnaosa Kirde tn 12/2-1 11623,Activities of parties,94921 (EMTAK 2008),94.92,,,,\n                                Ervin-Mihkel Pari\n,\n                                Management board member\n,30.10.2021,
273,Eesti-ValgevenekultuuriseltsSpadtsÃµna(80008694),80008694.0,Non-profit association,Deleted,17.07.1997,,,,,,,,,,,,22.07.2013
274,E-FinantspartnerOÃœ(11593026),11593026.0,Private limited company,Enteredintotheregister,20.02.2009,Capitalis2Â 556Â â‚¬,Harju maakond Raasiku vald ArukÃ¼la alevik Tallinna mnt 13 75201,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.2,\n                                        Tiina Markus\n,100.00%,\n                                    2556.00 EUR,\n                                Tiina Markus\n,\n                                Management board member\n,25.03.2021,
275,EhituspartnerOÃœ(12533463),12533463.0,Private limited company,Enteredintotheregister,09.09.2013,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn MustamÃ¤e linnaosa E. Vilde tee 144-1 12614,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,\n                                        Anton Ivanov\n,100.00%,\n                                    2500.00 EUR,\n                                Anton Ivanov\n,\n                                Management board member\n,09.09.2013,
276,EhitusPartnerOÃœ(12198480),12198480.0,Private limited company,Deleted,28.11.2011,,,,,,,,,,,,30.08.2013
277,OÃœEhituspartner(11205426),11205426.0,Private limited company,Deleted,15.02.2006,,,,,,,,,,,,15.11.2011
278,OsaÃ¼hingEhituspartner(10382965),10382965.0,Private limited company,Deleted,16.02.1998,,,,,,,,,,,,15.01.2004
279,OÃœEhitusplaadiEkspert(11242195),11242195.0,Private limited company,Deleted,05.04.2006,,,,,,,,,,,,08.08.2011
280,EiroholdingsEstoniaOÃœ(11662611),11662611.0,Private limited company,Deleted,29.05.2009,,,,,,,,,,,,18.08.2015
281,EJRSparrierOÃœ(14737750),14737750.0,Private limited company,Enteredintotheregister,05.06.2019,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Kaupmehe tn 7-31 10114,Temporary employment agency activities,78201 (EMTAK 2008),78.2,\n,100.00%,\n                                    2500.00 EUR,\n                                Rome Soomere\n,\n                                Management board member\n,12.04.2020,
282,EkspanOÃœ(16246045),16246045.0,Private limited company,Enteredintotheregister,04.06.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa VÃ¤ike-Paala tn 2 11415,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,\n                                        P\xc4\x81vels Jermakovs\n,100.00%,\n                                    2500.00 EUR,\n                                P\xc4\x81vels Jermakovs\n,\n                                Management board member\n,04.06.2021,
283,EkspatehOÃœ(14527604),14527604.0,Private limited company,Enteredintotheregister,17.07.2018,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Tuukri tn 19-315 10120,Wholesale of other machinery and equipment,4669 (EMTAK 2008),46.69,\n                                        Boris Beskov\n,100.00%,\n                                    2500.00 EUR,\n                                Boris Beskov\n,\n                                Management board member\n,17.07.2018,
284,EKSPRESSPANTOÃœ(10915261),10915261.0,Private limited company,Deleted,08.04.2003,,,,,,,,,,,,22.01.2013
285,ElamuspankOÃœ(12065192),12065192.0,Private limited company,Enteredintotheregister,25.02.2011,Capitalis2Â 500Â â‚¬,Rapla maakond Kehtna vald Kaerepere alevik MetsaÃ¤Ã¤re tn 1 79520,Organisation of conventions and trade shows,82301 (EMTAK 2008),82.3,"\n                                        Kalvi Kants\n, \n                                        Are Tints\n","80.00%, 20.00%","\n                                    2000.00 EUR, \n                                    500.00 EUR",\n                                Kalvi Kants\n,\n                                Management board member\n,25.02.2011,
286,ElamusSpaOÃœ(16548779),16548779.0,Private limited company,Enteredintotheregister,08.08.2022,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn MustamÃ¤e linnaosa Akadeemia tee 30 12613,Activities of holding companies,64201 (EMTAK 2008),64.2,\n                                        Andres Tiik\n,100.00%,\n                                    2500.00 EUR,\n                                Andres Tiik\n,\n                                Management board member\n,08.08.2022,
287,elSparkyOÃœ(16401089),16401089.0,Private limited company,Enteredintotheregister,27.12.2021,Capitalis2Â 500Â â‚¬,Harju maakond Viimsi vald Viimsi alevik HÃ¼atsindi tee 1-44 74001,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,\n                                        Sander Kasak\n,100.00%,\n                                    2500.00 EUR,\n                                Sander Kasak\n,\n                                Management board member\n,27.12.2021,
288,EluspaceOÃœ(16102263),16102263.0,Private limited company,Enteredintotheregister,19.11.2020,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kristiine linnaosa LÃµokese tn 5-15 11011,Other healthcare activities not classified elsewhere,86909 (EMTAK 2008),86.9,\n                                        \xc3\x9clle Kasev\xc3\xa4li\n,100.00%,\n                                    2500.00 EUR,\n                                \xc3\x9clle Kasev\xc3\xa4li\n,\n                                Management board member\n,19.11.2020,
289,EmOneSpaceOÃœ(16358229),16358229.0,Private limited company,Enteredintotheregister,04.11.2021,Capitalis2Â 500Â â‚¬,,Other research and experimental development on natural sciences and engineering,72191 (EMTAK 2008),72.19,\n                                        Anol Paisal\n,100.00%,\n                                    2500.00 EUR,\n                                Anol Paisal\n,\n                                Management board member\n,04.11.2021,
290,EMSEGRUPPOÃœ(11273149),11273149.0,Private limited company,Deleted,13.07.2006,,,,,,,,,,,,17.12.2021
291,EndermospaOÃœ(12979779),12979779.0,Private limited company,Enteredintotheregister,18.01.2016,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa C. R. Jakobsoni tn 17-3 10128,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,\n                                        Signe Urva\n,100.00%,\n                                    2500.00 EUR,\n                                Signe Urva\n,\n                                Management board member\n,18.01.2016,
292,EnergisparByggenOÃœ(12502445),12502445.0,Private limited company,Enteredintotheregister,10.07.2013,Capitalis2Â 500Â â‚¬,,Translation and interpretation activities,74301 (EMTAK 2008),74.3,\n                                        Peter Olof Wennerberg\n,100.00%,\n                                    2500.00 EUR,\n                                Peter Olof Wennerberg\n,\n                                Management board member\n,29.08.2013,
293,ENNRIISPAPP(10486831),10486831.0,Sole trader,Enteredintotheregister,19.10.1998,,LÃ¤Ã¤ne-Viru maakond Vinni vald Muuga kÃ¼la 46502,Mixed farming,01501 (EMTAK 2008),1.5,,,,\n                                Enn Riispapp\n,\n                                Sole trader\n,19.10.1998,
294,EPFTopSpaOÃœ(11194533),11194533.0,Private limited company,Deleted,28.11.2005,,,,,,,,,,,,15.08.2016
295,EPICSPACEOÃœ(16197424),16197424.0,Private limited company,Enteredintotheregister,01.04.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Gonsiori tn 29-42 10147,Specialised design activities,74101 (EMTAK 2008),74.1,\n                                        Sandra Goro\xc5\xa1ko\n,100.00%,\n                                    2500.00 EUR,\n                                Sandra Goro\xc5\xa1ko\n,\n                                Management board member\n,01.04.2021,
296,osaÃ¼hingEspaada(10073081),10073081.0,Private limited company,Deleted,30.08.1996,,,,,,,,,,,,22.05.2017
297,EspacioOÃœ(16205394),16205394.0,Private limited company,Enteredintotheregister,13.04.2021,Capitalis2Â 500Â â‚¬,Rapla maakond Rapla vald Hagudi kÃ¼la Rebase 79641,Manufacture of prefabricated metal buildings,25111 (EMTAK 2008),25.11,\n                                        Anne-Lii Gr\xc3\xbcnbaum\n,100.00%,\n                                    2500.00 EUR,\n                                Anne-Lii Gr\xc3\xbcnbaum\n,\n                                Management board member\n,13.04.2021,
298,EspacondeOÃœ(12121950),12121950.0,Private limited company,Enteredintotheregister,17.06.2011,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Tartu mnt 18-51 10145,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,\n                                        Esa Matti Py\xc3\xb6ri\xc3\xa4\n,100.00%,\n                                    2500.00 EUR,\n                                Esa Matti Py\xc3\xb6ri\xc3\xa4\n,\n                                Management board member\n,04.07.2011,
299,OsaÃ¼hingEspada-Kaubandus(10178392),10178392.0,Private limited company,Deleted,27.12.1996,,,,,,,,,,,,18.05.2011
300,AktsiaseltsESPADON(10111545),10111545.0,Public limited company,Deleted,17.10.1996,,,,,,,,,,,,24.08.2022
301,OsaÃ¼hingEspais(10502731),10502731.0,Private limited company,Deleted,29.10.1998,,,,,,,,,,,,05.12.2008
302,EspakAlumiiniumOÃœ(12450263),12450263.0,Private limited company,Enteredintotheregister,08.04.2013,Capitalis20Â 000Â â‚¬,Harju maakond Maardu linn Vana-Narva mnt 18d 74114,Manufacture of doors and windows of metal \xc2\xa0,25121 (EMTAK 2008),25.12,"\n, \n                                        Kaido T\xc3\xb5rva\n, \n","50.00%, 30.00%, 20.00%","\n                                    10000.00 EUR, \n                                    6000.00 EUR, \n                                    4000.00 EUR",\n                                Kaido T\xc3\xb5rva\n,\n                                Management board member\n,08.04.2013,
303,ESPAKArendusOÃœ(12874253),12874253.0,Private limited company,Enteredintotheregister,03.07.2015,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Viadukti tn 42 11313,Buying and selling of own real estate,68101 (EMTAK 2008),68.1,"\n                                        Ivar Pikk\n, \n","50.00%, 50.00%","\n                                    1250.00 EUR, \n                                    1250.00 EUR",\n                                Ivar Pikk\n,\n                                Management board member\n,03.07.2015,
304,aktsiaseltsESPAK(10077564),10077564.0,Public limited company,Enteredintotheregister,14.11.1996,Capitalis683Â 712Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Viadukti tn 42 11313,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,,,,\n                                Toivo Aava\n,\n                                Management board member\n,14.11.1996,
305,EspakEhitustÃ¶Ã¶dOÃœ(10482032),10482032.0,Private limited company,Enteredintotheregister,02.09.1998,Capitalis4Â 480Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Viadukti tn 42 11313,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,"\n, \n, \n                                        Tarvo Vikat\n","50.00%, 28.57%, 21.43%","\n                                    2240.00 EUR, \n                                    1280.00 EUR, \n                                    960.00 EUR",\n                                Toivo Aava\n,\n                                Management board member\n,02.09.1998,
306,EspakHaldusOÃœ(11959208),11959208.0,Private limited company,Enteredintotheregister,22.06.2010,Capitalis2Â 560Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Viadukti tn 42 11313,General cleaning of buildings,81211 (EMTAK 2008),81.21,\n,100.00%,\n                                    2560.00 EUR,\n                                Toivo Aava\n,\n                                Management board member\n,22.06.2010,
307,AktsiaseltsEspakNarva(10971513),10971513.0,Public limited company,Enteredintotheregister,29.10.2003,Capitalis134Â 400Â â‚¬,Ida-Viru maakond Narva linn Rahu tn 36a 20604,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,,,,\n                                Sergei Hiisku\n,\n                                Management board member\n,02.05.2014,
308,osaÃ¼hingESPAKPaide(12048070),12048070.0,Private limited company,Enteredintotheregister,25.01.2011,Capitalis100Â 000Â â‚¬,JÃ¤rva maakond Paide linn Paide linn PrÃ¤Ã¤ma tee 20 72720,Retail sale of other building material and goods in specialised stores,47529 (EMTAK 2008),47.52,"\n, \n, \n","50.00%, 49.00%, 1.00%","\n                                    50000.00 EUR, \n                                    49000.00 EUR, \n                                    1000.00 EUR",\n                                Eno Miljan\n,\n                                Management board member\n,25.01.2011,
